Multiple occupations for one geographical area,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Area:National,,,,,,,,,,,,,,,
Period:May 2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Occupation (SOC code),Employment(1),Employment percent relative standard error(3),Hourly mean wage,Annual mean wage(2),Wage percent relative standard error(3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage(2),Annual 25th percentile wage(2),Annual median wage(2),Annual 75th percentile wage(2),Annual 90th percentile wage(2)
Industrial Engineering Technologists and Technicians(173026),       73020,         1.0,       32.04,       66640,         0.6,       21.61,       24.36,       30.10,       37.21,       45.45,       44950,       50680,       62610,       77390,       94540
Mechanical Engineering Technologists and Technicians(173027),       38930,         2.3,       32.69,       67990,         0.5,       21.21,       24.97,       30.78,       38.42,       46.51,       44110,       51930,       64020,       79910,       96740
Calibration Technologists and Technicians(173028),       13220,         4.1,       32.39,       67360,         1.6,       20.37,       24.06,       30.19,       38.06,       48.48,       42370,       50050,       62790,       79170,      100850
"Engineering Technologists and Technicians, Except Drafters, All Other(173029)",       66200,         1.9,       36.20,       75290,         0.8,       20.62,       26.04,       35.34,       44.65,       52.50,       42900,       54160,       73500,       92880,      109190
Surveying and Mapping Technicians(173031),       56050,         2.5,       26.00,       54090,         0.8,       16.87,       19.13,       23.53,       30.07,       38.05,       35080,       39790,       48940,       62540,       79150
"Life, Physical, and Social Science Occupations(190000)",     1389430,         0.4,       42.24,       87870,         0.6,       21.00,       27.42,       37.63,       51.08,       67.44,       43680,       57040,       78280,      106250,      140280
Life Scientists(191000),      352000,         0.6,       48.38,      100630,         1.5,       25.24,       31.77,       42.60,       60.57,       77.17,       52500,       66080,       88620,      125990,      160510
Agricultural and Food Scientists(191010),       32360,         2.6,       39.87,       82930,         1.1,       22.12,       28.30,       36.73,       48.77,       62.29,       46010,       58860,       76400,      101430,      129560
Animal Scientists(191011),        2460,         8.4,       43.01,       89450,         4.5,       22.23,       25.42,       33.72,       49.64,       77.89,       46240,       52870,       70140,      103260,      162000
Food Scientists and Technologists(191012),       14100,         4.3,       42.48,       88350,         1.3,       23.31,       30.76,       39.47,       50.79,       65.11,       48480,       63980,       82090,      105640,      135430
Soil and Plant Scientists(191013),       15800,         5.7,       37.06,       77080,         1.9,       21.05,       25.97,       32.81,       44.95,       57.41,       43790,       54030,       68240,       93500,      119410
Biological Scientists(191020),      133050,         1.3,       48.29,      100440,         0.9,       25.04,       32.01,       44.13,       60.00,       77.14,       52090,       66570,       91790,      124790,      160460
Biochemists and Biophysicists(191021),       33180,         3.2,       57.84,      120310,         1.4,       31.10,       39.26,       51.66,       65.43,       84.52,       64680,       81650,      107460,      136080,      175790
Microbiologists(191022),       21540,         3.1,       44.89,       93380,         1.1,       23.59,       30.18,       41.09,       57.81,       70.90,       49070,       62770,       85470,      120240,      147470
Zoologists and Wildlife Biologists(191023),       17100,         2.1,       36.41,       75740,         0.6,       22.04,       27.46,       33.94,       42.40,       53.17,       45840,       57120,       70600,       88190,      110590
"Biological Scientists, All Other(191029)",       61220,         1.9,       47.62,       99060,         1.3,       25.11,       31.93,       43.80,       57.40,       76.31,       52230,       66400,       91100,      119390,      158730
Conservation Scientists and Foresters(191030),       32240,         1.6,       34.82,       72430,         0.5,       21.45,       25.82,       32.84,       40.97,       49.63,       44620,       53710,       68300,       85220,      103230
Conservation Scientists(191031),       22790,         1.5,       35.17,       73160,         0.7,       20.60,       25.48,       33.05,       42.05,       50.70,       42850,       53000,       68750,       87460,      105460
Foresters(191032),        9450,         3.2,       33.98,       70680,         1.1,       22.45,       26.69,       32.37,       39.48,       47.40,       46700,       55520,       67330,       82120,       98590
Medical Scientists(191040),      146850,         1.2,       53.29,      110850,         2.4,       29.72,       36.57,       48.07,       63.96,       80.47,       61810,       76060,       99980,      133030,      167370
Epidemiologists(191041),       10230,         2.4,       43.48,       90430,         0.8,       26.42,       31.69,       39.13,       49.99,       63.57,       54950,       65910,       81390,      103980,      132230
"Medical Scientists, Except Epidemiologists(191042)",      136620,         1.3,       54.03,      112380,         2.5,       29.72,       36.87,       48.50,       64.36,       80.78,       61810,       76690,      100890,      133870,      168020
"Life Scientists, All Other(191099)",        7490,         3.1,       48.81,      101520,         1.6,       24.20,       30.99,       41.80,       61.34,       82.72,       50340,       64460,       86950,      127580,      172060
Physical Scientists(192000),      254410,         0.7,       48.61,      101110,         0.4,       24.94,       31.48,       42.96,       60.65,       80.60,       51870,       65470,       89350,      126140,      167650
Astronomers and Physicists(192010),       20430,         1.6,       74.66,      155280,         0.6,       37.78,       52.45,       71.89,       88.22,      109.06,       78580,      109100,      149530,      183500,      226850
Astronomers(192011),        2080,         7.9,       61.99,      128940,         2.5,       27.17,       41.16,       61.50,       82.80,       88.22,       56500,       85600,      127930,      172210,      183500
Physicists(192012),       18350,         1.7,       76.09,      158270,         0.6,       38.92,       54.14,       74.85,       89.58,      111.99,       80950,      112610,      155680,      186330,      232940
Atmospheric and Space Scientists(192021),        9310,         4.3,       48.81,      101530,         1.2,       23.54,       32.73,       44.65,       59.98,       75.60,       48960,       68080,       92860,      124760,      157250
Chemists and Materials Scientists(192030),       92350,         1.5,       46.72,       97170,         0.6,       25.88,       31.63,       41.91,       58.27,       74.01,       53830,       65790,       87180,      121200,      153940
